 Income ,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Childrenhome,Total_Accepted_Cmps,Total_Mnt_spent,Age,TotalPurchases,Basic,Graduation,Master,PhD,Divorced,Married,Single,Together,Widow,CA,GER,IND,ME,SA,SP,US,campaign_binary
81975.0,0,1,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0,1,1,1588,59,14,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
43263.0,0,1,2,262,6,61,0,10,102,3,5,2,6,5,0,0,0,0,0,0,0,1,0,441,44,16,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
27242.0,1,0,2,3,17,26,20,1,39,2,2,0,3,9,0,0,0,0,0,1,0,1,1,106,51,7,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
76445.0,1,0,2,739,107,309,140,80,35,1,2,5,13,6,0,0,0,0,0,0,0,1,0,1410,50,21,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
75276.0,0,0,2,610,105,125,137,42,21,1,9,4,9,5,0,0,0,0,0,0,0,0,0,1040,56,23,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
34213.0,1,1,2,50,4,28,6,3,26,3,3,1,2,9,0,0,0,0,0,1,0,2,1,117,58,9,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
72335.0,0,0,2,1285,105,653,28,21,0,1,10,4,8,8,0,0,0,0,0,1,0,0,1,2092,45,23,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,0,0,1693,57,29,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27469.0,0,0,2,9,1,2,3,2,0,1,0,0,3,6,0,0,0,0,0,0,0,0,0,17,74,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
68695.0,0,0,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,0,0,1091,52,16,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
68695.0,0,0,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,0,0,1091,52,16,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,1,0,1,3,372,64,17,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
77622.0,0,2,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,0,2,0,714,51,22,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
46102.0,2,1,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,3,0,16,59,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
31859.0,1,0,3,3,4,7,15,8,11,1,1,0,3,7,0,0,0,0,0,0,0,1,0,48,41,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
23830.0,0,0,3,1,8,6,4,8,16,1,1,0,3,7,0,0,0,0,0,0,0,0,0,43,34,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
24639.0,1,1,3,20,3,16,0,4,1,3,2,0,4,6,0,0,0,0,0,0,0,2,0,44,48,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
71604.0,0,0,3,345,53,528,98,75,97,1,8,3,5,4,1,0,0,0,0,1,0,0,2,1196,76,17,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
27255.0,1,0,3,22,1,11,0,1,2,1,1,0,3,7,0,0,0,0,0,0,0,1,0,37,37,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
55375.0,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,1,0,162,44,9,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
77037.0,0,1,3,463,96,333,168,53,10,1,7,7,12,3,0,0,0,0,0,0,0,1,0,1123,61,27,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
24163.0,1,1,3,4,1,7,2,1,2,2,1,0,3,4,0,0,0,0,0,0,0,2,0,17,51,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
69476.0,0,0,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,0,0,1044,52,15,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
72063.0,0,1,3,180,32,348,76,32,90,2,5,2,12,2,0,0,0,0,0,0,0,1,0,758,42,21,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
58646.0,0,1,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,1,0,140,59,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
58646.0,0,1,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,1,0,140,59,8,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
47570.0,1,1,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,1,0,2,1,121,72,9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,1,0,1395,41,21,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
54998.0,0,1,3,154,22,202,39,30,8,5,4,2,9,4,0,0,0,0,0,1,0,1,1,455,65,20,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
60200.0,0,1,3,502,19,132,0,6,26,6,6,2,11,6,0,0,0,0,0,0,0,1,0,685,73,25,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
63211.0,0,0,3,145,193,459,205,26,145,2,3,8,7,2,0,0,0,0,0,1,0,0,1,1173,39,20,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
48432.0,0,1,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,1,1,424,48,19,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
48432.0,0,1,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,0,0,1,0,424,48,19,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
48432.0,0,1,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,1,1,424,48,19,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
62845.0,1,1,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,0,0,2,1,1178,72,28,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
62845.0,1,1,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,1,0,2,2,1178,72,28,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
65220.0,0,0,3,890,63,292,0,25,12,4,8,4,7,6,0,0,0,0,0,1,0,0,1,1282,56,23,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
74214.0,0,0,3,863,83,547,86,99,33,1,8,2,5,5,0,0,0,0,0,0,0,0,0,1711,31,16,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
96547.0,0,0,4,448,21,125,52,101,62,0,7,6,8,2,1,0,1,1,0,1,0,0,4,809,41,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
53863.0,0,1,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,1,1,473,66,18,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
50447.0,2,0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,2,0,148,51,8,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
37716.0,0,1,4,97,1,41,6,2,41,2,4,1,3,7,0,0,0,0,0,0,0,1,0,188,68,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45203.0,2,0,4,35,3,67,10,8,24,1,3,1,3,6,0,0,0,0,0,1,0,2,1,147,39,8,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
37368.0,1,0,4,3,2,11,2,2,10,1,1,0,2,6,1,0,0,0,0,0,0,1,1,30,46,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
67225.0,0,1,4,315,35,322,46,7,143,3,7,2,11,5,0,0,0,0,0,0,0,1,0,868,66,23,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,1,0,1,1,1053,45,17,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,0,1,0,1053,45,17,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
81698.0,0,0,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,1,0,0,1,1008,72,25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
70566.0,0,1,4,381,28,215,84,28,21,2,6,5,9,3,0,0,0,0,0,0,0,1,0,757,53,22,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,1,0,653,63,18,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
71434.0,0,1,4,711,36,217,172,96,168,3,7,4,7,4,0,1,0,1,0,0,0,1,2,1400,59,21,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
33039.0,1,0,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,1,0,78,43,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
33039.0,1,0,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,1,0,78,43,7,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
46610.0,0,0,4,288,10,30,4,10,125,1,6,1,6,6,0,0,0,0,0,0,0,0,0,467,63,14,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
49967.0,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,1,0,306,63,15,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,2,0,257,45,14,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
49505.0,1,1,4,604,0,100,19,0,28,9,10,2,8,8,0,0,0,0,0,0,0,2,0,751,50,29,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,0,0,1196,75,18,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72071.0,0,1,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,1,0,1338,67,20,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
72071.0,0,1,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,1,0,1338,67,20,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
59235.0,1,0,4,448,40,469,80,0,91,3,11,2,12,7,0,0,0,0,0,0,0,1,0,1128,54,28,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,1,0,22,64,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,1,0,22,64,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
51381.5,2,1,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,3,0,603,64,29,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
69209.0,0,0,4,496,32,849,229,48,128,2,5,3,6,4,0,0,0,1,0,0,0,0,1,1782,49,16,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
31928.0,1,0,5,33,4,24,4,2,5,2,3,0,4,7,0,0,0,0,0,0,0,1,0,72,32,9,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
74004.0,0,0,5,784,48,560,42,176,48,1,4,6,4,3,0,0,1,1,0,1,0,0,3,1658,34,15,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
30390.0,0,0,5,10,12,12,25,1,20,1,2,0,3,6,0,0,0,0,0,0,0,0,0,80,34,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
21355.0,1,0,5,5,13,14,0,5,31,2,2,1,2,6,1,0,0,0,0,1,0,1,2,68,36,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,1,0,16,52,4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
85710.0,0,0,5,600,20,350,29,30,33,1,6,9,10,2,0,0,1,0,0,0,0,0,1,1062,32,26,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
102692.0,0,0,5,168,148,444,32,172,148,1,6,9,13,2,0,1,1,1,1,1,0,0,5,1112,47,29,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
58350.0,0,1,5,493,26,206,116,80,80,4,8,3,12,6,0,0,0,0,0,0,0,1,0,1001,50,27,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
7500.0,1,1,5,6,5,4,13,4,25,4,2,1,3,6,0,0,0,0,0,0,0,2,0,57,43,10,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
18890.0,0,0,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,1,0,0,2,35,37,4,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
20425.0,1,0,5,4,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,0,1,0,57,35,7,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
